"日期","最新","开盘","高","低","交易量","百分比变化"
"2014年11月27日","8,860.43","8,798.41","8,860.43","8,743.93","34.28K","1.10"
"2014年11月26日","8,763.78","8,712.29","8,774.78","8,680.86","28.68K","0.81"
"2014年11月25日","8,693.43","8,600.31","8,694.59","8,578.46","28.16K","1.35"
"2014年11月24日","8,577.91","8,498.06","8,645.39","8,464.61","36.06K","2.95"
"2014年11月21日","8,332.30","8,209.98","8,335.59","8,194.52","18.01K","1.55"
"2014年11月20日","8,205.38","8,210.82","8,236.32","8,190.40","13.02K","-0.24"
"2014年11月19日","8,225.07","8,206.78","8,265.58","8,202.78","13.60K","0.35"
"2014年11月18日","8,196.59","8,264.40","8,295.98","8,173.44","14.02K","-1.05"
"2014年11月17日","8,283.80","8,358.13","8,389.40","8,278.12","17.59K","-0.52"
"2014年11月14日","8,326.90","8,263.97","8,343.91","8,242.49","21.58K","0.26"
"2014年11月13日","8,305.08","8,416.67","8,416.81","8,288.06","25.29K","-1.25"
"2014年11月12日","8,410.29","8,287.57","8,410.42","8,271.84","20.63K","1.17"
"2014年11月11日","8,312.89","8,443.25","8,491.12","8,243.90","36.60K","-1.16"
"2014年11月10日","8,410.22","8,299.42","8,410.95","8,251.74","28.28K","2.13"
"2014年11月7日","8,234.87","8,226.31","8,348.88","8,183.06","28.75K","0.28"
"2014年11月6日","8,211.96","8,206.55","8,223.30","8,137.42","20.22K","0.16"
"2014年11月5日","8,198.57","8,221.95","8,248.56","8,189.84","25.51K","-0.10"
"2014年11月4日","8,206.79","8,231.50","8,236.17","8,179.34","26.97K","-0.40"
"2014年11月3日","8,240.15","8,245.03","8,285.16","8,202.53","29.24K","0.18"
"2014年10月31日","8,225.61","8,109.55","8,230.59","8,088.26","30.39K","1.67"
"2014年10月30日","8,090.55","8,088.98","8,105.72","8,034.08","22.56K","-0.00"
"2014年10月29日","8,090.68","8,010.41","8,109.64","7,962.03","22.58K","1.28"
"2014年10月28日","7,988.34","7,846.87","7,988.34","7,846.87","15.19K","2.03"
"2014年10月27日","7,829.33","7,881.01","7,881.01","7,803.46","12.27K","-1.16"
"2014年10月24日","7,921.13","7,982.31","8,003.79","7,899.54","12.22K","-0.60"
"2014年10月23日","7,969.16","8,044.71","8,077.78","7,957.03","18.79K","-1.17"
"2014年10月22日","8,063.20","8,114.89","8,162.84","8,059.56","13.07K","-0.54"
"2014年10月21日","8,106.92","8,197.17","8,206.89","8,101.60","13.46K","-1.19"
"2014年10月20日","8,204.20","8,175.68","8,219.80","8,153.10","14.17K","0.65"
"2014年10月17日","8,151.52","8,116.81","8,182.83","8,015.62","19.41K","0.50"
"2014年10月16日","8,110.69","8,156.78","8,227.14","8,110.69","21.55K","-1.07"
"2014年10月15日","8,198.12","8,141.14","8,209.90","8,086.63","24.66K","0.71"
"2014年10月14日","8,139.96","8,150.86","8,200.35","8,105.54","25.87K","-0.30"
"2014年10月13日","8,164.07","8,179.49","8,193.36","8,092.49","26.62K","-0.58"
"2014年10月10日","8,211.54","8,186.33","8,260.23","8,158.34","31.55K","0.09"
"2014年10月9日","8,204.01","8,199.68","8,234.92","8,131.17","20.83K","0.25"
"2014年10月8日","8,183.65","8,134.37","8,183.65","8,073.72","17.91K","1.28"
"2014年9月30日","8,080.35","8,095.27","8,100.29","8,060.35","14.48K","-0.03"
"2014年9月29日","8,082.85","8,084.27","8,107.15","8,045.89","17.17K","0.12"
"2014年9月26日","8,072.88","8,050.64","8,078.07","8,021.27","16.26K","-0.04"
"2014年9月25日","8,076.51","8,137.33","8,167.03","8,058.70","21.88K","-0.29"
"2014年9月24日","8,100.22","7,944.32","8,103.30","7,925.38","20.11K","1.69"
"2014年9月23日","7,965.89","7,906.47","7,974.82","7,906.47","13.35K","0.89"
"2014年9月22日","7,895.87","8,036.87","8,036.87","7,886.88","16.89K","-1.88"
"2014年9月19日","8,047.25","8,006.06","8,060.74","7,971.22","15.57K","0.53"
"2014年9月18日","8,004.57","7,964.47","8,020.36","7,942.85","19.48K","0.29"
"2014年9月17日","7,981.82","7,951.42","7,986.49","7,893.10","20.80K","0.77"
"2014年9月16日","7,921.07","8,130.22","8,143.91","7,918.60","30.47K","-2.36"
