"日期","最新","开盘","高","低","交易量","百分比变化"
"2004年9月20日","1,424.72","1,417.39","1,437.30","1,415.31","0","-0.11"
"2004年9月17日","1,426.30","1,417.73","1,427.59","1,413.78","0","0.59"
"2004年9月16日","1,417.97","1,417.37","1,429.93","1,413.22","0","0.19"
"2004年9月15日","1,415.30","1,425.51","1,425.51","1,412.54","0","-1.33"
"2004年9月14日","1,434.37","1,425.29","1,435.91","1,422.83","0","0.49"
"2004年9月13日","1,427.34","1,417.84","1,435.95","1,414.22","0","1.01"
"2004年9月10日","1,413.00","1,391.20","1,414.55","1,386.41","0","1.54"
"2004年9月9日","1,391.53","1,385.22","1,396.55","1,373.37","0","1.07"
"2004年9月8日","1,376.77","1,378.40","1,393.69","1,374.79","0","-0.37"
"2004年9月7日","1,381.84","1,382.48","1,390.60","1,372.53","0","0.73"
"2004年9月3日","1,371.82","1,384.41","1,393.50","1,370.01","0","-1.90"
"2004年9月2日","1,398.34","1,374.69","1,402.07","1,373.67","0","1.48"
"2004年9月1日","1,377.96","1,363.27","1,384.85","1,360.58","0","0.68"
"2004年8月31日","1,368.68","1,368.91","1,372.27","1,354.10","0","0.05"
"2004年8月30日","1,367.94","1,383.12","1,384.14","1,367.73","0","-1.49"
"2004年8月27日","1,388.56","1,384.61","1,393.23","1,384.61","0","0.33"
"2004年8月26日","1,383.98","1,383.80","1,388.84","1,379.69","0","-0.37"
"2004年8月25日","1,389.17","1,369.20","1,391.22","1,363.56","0","1.42"
"2004年8月24日","1,369.78","1,376.99","1,379.05","1,360.82","0","-0.08"
"2004年8月23日","1,370.90","1,370.51","1,377.67","1,364.46","0","0.31"
"2004年8月20日","1,366.73","1,352.28","1,373.01","1,348.27","0","1.00"
"2004年8月19日","1,353.24","1,356.89","1,361.23","1,344.98","0","-0.77"
"2004年8月18日","1,363.73","1,328.99","1,363.74","1,327.85","0","2.10"
"2004年8月17日","1,335.72","1,332.94","1,344.54","1,331.85","0","0.67"
"2004年8月16日","1,326.84","1,309.50","1,334.78","1,309.50","0","1.45"
"2004年8月13日","1,307.82","1,311.84","1,316.30","1,301.93","0","0.26"
"2004年8月12日","1,304.43","1,313.81","1,320.94","1,302.74","0","-1.53"
"2004年8月11日","1,324.65","1,319.70","1,328.83","1,309.50","0","-1.64"
"2004年8月10日","1,346.71","1,325.96","1,346.71","1,324.38","0","2.11"
"2004年8月9日","1,318.83","1,320.83","1,325.45","1,314.57","0","0.27"
"2004年8月6日","1,315.30","1,341.08","1,342.87","1,314.97","0","-2.82"
"2004年8月5日","1,353.44","1,380.93","1,383.38","1,352.27","0","-1.87"
"2004年8月4日","1,379.21","1,372.46","1,386.28","1,368.44","0","0.01"
"2004年8月3日","1,379.14","1,402.34","1,404.90","1,379.02","0","-1.93"
"2004年8月2日","1,406.33","1,390.21","1,408.31","1,387.04","0","0.42"
"2004年7月30日","1,400.39","1,397.05","1,412.00","1,394.85","0","0.13"
"2004年7月29日","1,398.55","1,395.34","1,403.80","1,388.06","0","1.07"
"2004年7月28日","1,383.75","1,384.51","1,392.48","1,360.27","0","-0.56"
"2004年7月27日","1,391.50","1,374.69","1,395.95","1,371.26","0","1.69"
"2004年7月26日","1,368.40","1,376.80","1,383.67","1,359.20","0","-0.51"
"2004年7月23日","1,375.48","1,394.56","1,394.56","1,370.70","0","-2.35"
"2004年7月22日","1,408.51","1,385.89","1,411.43","1,377.70","0","1.58"
"2004年7月21日","1,386.57","1,433.27","1,433.27","1,386.57","0","-2.43"
"2004年7月20日","1,421.07","1,398.64","1,421.07","1,396.85","0","1.74"
"2004年7月19日","1,396.77","1,398.92","1,406.15","1,386.78","0","0.33"
"2004年7月16日","1,392.17","1,426.49","1,426.49","1,392.17","0","-1.68"
"2004年7月15日","1,415.92","1,422.26","1,427.72","1,412.59","0","-0.01"
"2004年7月14日","1,416.05","1,414.42","1,433.61","1,411.52","0","-0.88"
"2004年7月13日","1,428.68","1,436.08","1,439.78","1,426.11","0","-0.24"
"2004年7月12日","1,432.11","1,429.91","1,435.30","1,418.10","0","-0.55"
"2004年7月9日","1,440.00","1,442.43","1,451.39","1,434.00","0","0.62"
"2004年7月8日","1,431.13","1,439.57","1,452.70","1,430.81","0","-1.47"
"2004年7月7日","1,452.49","1,445.10","1,459.07","1,445.02","0","0.47"
"2004年7月6日","1,445.71","1,470.47","1,471.21","1,441.78","0","-2.40"
"2004年7月2日","1,481.19","1,488.34","1,489.60","1,473.73","0","-0.56"
"2004年7月1日","1,489.57","1,514.82","1,514.82","1,477.62","0","-1.78"
"2004年6月30日","1,516.64","1,507.60","1,523.48","1,502.61","0","0.73"
"2004年6月29日","1,505.65","1,490.65","1,507.05","1,490.65","0","0.84"
"2004年6月28日","1,493.07","1,507.32","1,508.52","1,485.25","0","-0.35"
"2004年6月25日","1,498.38","1,488.82","1,503.91","1,488.20","0","0.68"
"2004年6月24日","1,488.31","1,490.58","1,502.14","1,485.88","0","-0.35"
"2004年6月23日","1,493.52","1,471.54","1,495.05","1,468.74","0","1.26"
"2004年6月22日","1,474.87","1,455.92","1,475.12","1,448.82","0","1.49"
"2004年6月21日","1,453.23","1,467.98","1,472.65","1,450.79","0","-0.78"
"2004年6月18日","1,464.65","1,457.88","1,481.36","1,455.67","0","0.04"
"2004年6月17日","1,464.03","1,473.94","1,473.95","1,458.68","0","-1.08"
"2004年6月16日","1,479.99","1,478.72","1,483.60","1,474.17","0","0.05"
"2004年6月15日","1,479.20","1,470.37","1,487.83","1,470.37","0","1.41"
"2004年6月14日","1,458.64","1,470.62","1,471.19","1,451.78","0","-1.53"
"2004年6月10日","1,481.27","1,475.71","1,481.27","1,470.50","0","0.80"
"2004年6月9日","1,469.50","1,487.37","1,490.88","1,469.04","0","-1.77"
"2004年6月8日","1,495.97","1,483.59","1,496.00","1,481.76","0","0.30"
"2004年6月7日","1,491.45","1,465.56","1,491.45","1,464.01","0","2.50"
"2004年6月4日","1,455.04","1,463.46","1,472.64","1,455.04","0","0.68"
"2004年6月3日","1,445.21","1,459.19","1,462.41","1,445.21","0","-1.30"
"2004年6月2日","1,464.22","1,472.54","1,474.10","1,455.13","0","-0.29"
"2004年6月1日","1,468.54","1,457.71","1,469.27","1,453.39","0","0.16"
"2004年5月28日","1,466.22","1,464.83","1,469.23","1,456.77","0","0.21"
"2004年5月27日","1,463.11","1,460.06","1,467.63","1,450.67","0","0.64"
"2004年5月26日","1,453.87","1,443.13","1,455.00","1,440.85","0","0.42"
"2004年5月25日","1,447.72","1,412.59","1,450.06","1,406.20","0","2.39"
"2004年5月24日","1,413.97","1,418.77","1,425.49","1,408.44","0","0.41"
"2004年5月21日","1,408.17","1,409.61","1,414.11","1,397.70","0","0.81"
"2004年5月20日","1,396.87","1,400.37","1,408.20","1,390.41","0","0.04"
"2004年5月19日","1,396.34","1,414.38","1,427.51","1,396.34","0","-0.08"
"2004年5月18日","1,397.47","1,395.23","1,404.27","1,393.08","0","1.27"
"2004年5月17日","1,379.90","1,379.99","1,391.77","1,372.46","0","-1.43"
"2004年5月14日","1,399.85","1,415.44","1,419.57","1,394.37","0","-1.22"
"2004年5月13日","1,417.09","1,408.58","1,425.69","1,405.60","0","0.16"
"2004年5月12日","1,414.83","1,412.50","1,417.03","1,378.64","0","-0.50"
"2004年5月11日","1,421.89","1,406.36","1,422.51","1,406.36","0","1.77"
"2004年5月10日","1,397.10","1,395.21","1,403.59","1,384.89","0","-0.65"
"2004年5月7日","1,406.19","1,411.05","1,432.71","1,406.19","0","-0.66"
"2004年5月6日","1,415.60","1,416.59","1,425.50","1,403.36","0","-0.90"
"2004年5月5日","1,428.42","1,424.71","1,435.46","1,416.73","0","0.44"
"2004年5月4日","1,422.11","1,417.12","1,438.49","1,409.39","0","0.48"
"2004年5月3日","1,415.29","1,409.06","1,428.49","1,404.06","0","0.99"
"2004年4月30日","1,401.36","1,435.16","1,439.69","1,401.36","0","-2.10"
"2004年4月29日","1,431.36","1,451.40","1,461.13","1,420.66","0","-1.49"
"2004年4月28日","1,453.03","1,475.88","1,476.03","1,449.23","0","-1.79"
"2004年4月27日","1,479.47","1,485.67","1,495.62","1,476.42","0","-0.07"
"2004年4月26日","1,480.53","1,496.67","1,499.45","1,474.79","0","-1.10"
"2004年4月23日","1,497.01","1,492.24","1,497.17","1,484.36","0","0.77"
"2004年4月22日","1,485.50","1,450.38","1,488.74","1,449.06","0","2.38"
"2004年4月21日","1,451.01","1,446.02","1,452.92","1,434.16","0","0.98"
"2004年4月20日","1,436.90","1,473.98","1,479.68","1,436.89","0","-2.48"
"2004年4月19日","1,473.48","1,448.89","1,473.53","1,448.03","0","1.69"
"2004年4月16日","1,449.06","1,458.51","1,460.39","1,440.56","0","-0.71"
"2004年4月15日","1,459.45","1,479.56","1,481.77","1,449.40","0","-1.10"
"2004年4月14日","1,475.66","1,464.32","1,485.28","1,463.63","0","0.19"
"2004年4月13日","1,472.88","1,501.98","1,502.52","1,469.88","0","-1.54"
"2004年4月12日","1,495.93","1,489.59","1,497.50","1,488.35","0","0.70"
"2004年4月8日","1,485.51","1,502.77","1,503.37","1,478.44","0","0.24"
"2004年4月7日","1,481.96","1,489.10","1,492.19","1,475.62","0","-0.78"
"2004年4月6日","1,493.58","1,492.93","1,498.34","1,485.70","0","-0.98"
"2004年4月5日","1,508.37","1,488.45","1,508.37","1,487.23","0","1.21"
"2004年4月2日","1,490.30","1,482.33","1,490.30","1,469.57","0","2.55"
"2004年4月1日","1,453.22","1,438.91","1,457.59","1,438.91","0","1.03"
"2004年3月31日","1,438.41","1,445.17","1,447.95","1,432.87","0","-0.47"
"2004年3月30日","1,445.25","1,435.59","1,445.30","1,429.09","0","0.20"
"2004年3月29日","1,442.31","1,429.54","1,445.82","1,429.48","0","1.90"
"2004年3月26日","1,415.39","1,420.41","1,431.23","1,415.39","0","-0.73"
"2004年3月25日","1,425.86","1,394.20","1,425.86","1,393.96","0","3.18"
"2004年3月24日","1,381.86","1,374.74","1,391.87","1,368.08","0","0.86"
"2004年3月23日","1,370.04","1,391.64","1,393.77","1,368.67","0","-0.82"
"2004年3月22日","1,381.39","1,386.76","1,388.68","1,369.36","0","-1.23"
"2004年3月19日","1,398.58","1,416.23","1,425.92","1,398.58","0","-1.35"
"2004年3月18日","1,417.77","1,423.86","1,425.76","1,407.09","0","-0.78"
"2004年3月17日","1,428.89","1,418.57","1,432.23","1,418.30","0","1.55"
"2004年3月16日","1,407.07","1,412.10","1,417.56","1,394.11","0","0.51"
"2004年3月15日","1,399.87","1,423.15","1,424.65","1,399.87","0","-2.20"
"2004年3月12日","1,431.40","1,415.90","1,431.40","1,414.43","0","2.08"
"2004年3月11日","1,402.20","1,409.14","1,429.10","1,402.20","0","-1.08"
"2004年3月10日","1,417.50","1,438.53","1,447.71","1,417.18","0","-1.39"
